  gen    gen_best_fitness       variable0       variable1
    0             0.96206       -2.44301       -5.75199
    1             0.93590        5.39386        2.86222
    2             0.93590        5.39386        2.86222
    3             0.96304        1.64831        2.86576
    4             0.96307        1.64831        2.86566
    5             0.96307        1.64831        2.86566
    6             0.98804        2.70166       -1.68933
    7             0.99338        0.01978       -0.07894
    8             0.98804        2.70165       -1.68933
    9             0.98908        2.70166       -1.66489
   10             0.98604        0.08498       -3.20318
   11             0.98915       -2.74377       -1.59274
   12             0.98595        0.08167       -3.20394
   13             0.98603        0.05125       -3.20394
   14             0.98347        0.27724       -3.20996
   15             0.98347        0.27724       -3.20996
   16             0.98686        0.27724       -3.18554
   17             0.98686        0.27724       -3.18554
   18             0.97486       -2.60888        1.96192
   19             0.99006       -2.54476        1.81125
   20             0.99006       -2.54476        1.81125
   21             0.99006       -2.54476        1.81125
   22             0.99006       -2.54476        1.81125
   23             0.99006       -2.54478        1.81124
   24             0.99003       -2.54325        1.81124
   25             0.98995       -2.58150        1.81735
   26             0.97554       -1.64983        2.81336
   27             0.98888       -2.65508        1.60134
   28             0.99028       -2.45095        1.96053
   29             0.98959       -2.42963        2.02857
   30             0.99023       -3.13244       -0.29155
   31             0.99023       -3.13244       -0.29155
   32             0.99023       -3.13244       -0.28849
   33             0.99028       -3.12635       -0.29155
   34             0.99028       -2.64900       -1.68412
   35             0.99027       -3.06497        0.65567
   36             0.99028       -2.44830        1.96052
   37             0.99021       -2.46158        1.96072
   38             0.99024       -1.87299        2.52662
   39             0.99009       -3.08952        0.62812
   40             0.99027        2.58340        1.78889
   41             0.99028        2.44929        1.96276
   42             0.99028        3.13025       -0.20742
   43             0.99028       -3.06993        0.64852
   44             0.99028       -3.06993        0.64852
   45             0.99028       -3.06840        0.67294
   46             0.99028       -3.06841        0.67294
   47             0.99028       -3.11107        0.41774
   48             0.99028        3.10151        0.48337
   49             0.99027       -2.43068        1.97846
   50             0.99028        2.67597       -1.63567
   51             0.99439       -0.02054       -0.07205
   52             0.99436       -0.02119       -0.07205
   53             0.99028       -2.46157        1.94503
   54             0.99028       -3.09428       -0.52335
   55             0.99028        3.06062        0.69321
   56             0.99028       -1.29822        2.85908
   57             0.99027       -1.85125        2.53927
   58             0.99028       -1.34724        2.83467
   59             0.99028       -1.34724        2.83467
   60             0.99027       -2.46608        1.93536
   61             0.99023       -3.10362        0.51360
   62             0.99027       -3.05545        0.73319
   63             0.99027       -3.05545        0.73319
   64             0.99027       -3.05507        0.73319
   65             0.99028       -2.37050        2.05805
   66             0.99028       -2.37050        2.05804
   67             0.99028       -2.37050        2.05804
   68             0.99639       -0.04358        0.04132
   69             0.99639       -0.04358        0.04132
   70             0.99792       -0.01916        0.04132
   71             0.99639       -0.04367        0.04133
   72             0.99028       -3.08283        0.58510
   73             0.99028       -2.36371        2.06016
   74             0.99027       -2.41330        2.00033
   75             0.99028       -0.36444        3.11988
   76             0.99028       -0.36088        3.11988
